uniq,phylum,class,order,family,genus,species
uniq163,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Phestilla,Phestilla
uniq16309,Chordata,Actinopteri,Actinopteri,Blenniiformes,Cirripectes,Cirripectes
uniq16315,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq16316,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq1632,Arthropoda,Malacostraca,Malacostraca,Decapoda,Metaxanthops,Metaxanthops
uniq16359,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Acartia,Acartia
uniq16385,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Gryphus,Gryphus
uniq164,Arthropoda,Malacostraca,Malacostraca,Decapoda,Etisus,Etisus
uniq1641,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq16430,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Lyncina,Lyncina
uniq1644,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Lampasopsis,Lampasopsis
uniq16445,Chordata,Actinopteri,Actinopteri,Blenniiformes,Plagiotremus,Plagiotremus
uniq16478,Mollusca,Gastropoda,Gastropoda,Aplysiida,Dolabrifera,Dolabrifera
uniq16487,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16512,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16513,Arthropoda,Malacostraca,Malacostraca,Decapoda,Thalamita,Thalamita
uniq16528,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq16541,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16561,Arthropoda,Malacostraca,Malacostraca,Decapoda,Etisus,Etisus
uniq16565,Mollusca,Gastropoda,Gastropoda,Nudibranchia,Nudibranchia,Nudibranchia
uniq16575,Arthropoda,Malacostraca,Malacostraca,Decapoda,Trapezia,Trapezia
uniq16584,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Anarithma,Anarithma
uniq1659,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16604,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq1665,Mollusca,Gastropoda,Gastropoda,Gastropoda,Cerithium,Cerithium
uniq16659,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq16680,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16681,Mollusca,Gastropoda,Gastropoda,Cephalaspidea,Cephalaspidea,Cephalaspidea
uniq16688,Arthropoda,Branchiopoda,Branchiopoda,Diplostraca,Pseudevadne,Pseudevadne
uniq1669,Annelida,Polychaeta,Polychaeta,Spionida,Microspio,Microspio
uniq167,Mollusca,Bivalvia,Bivalvia,Cardiida,Pinguitellina,Pinguitellina
uniq16704,Cnidaria,Anthozoa,Anthozoa,Alcyonacea,Cladiella,Cladiella
uniq16709,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Clausocalanus,Clausocalanus
uniq16752,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq16782,Porifera,Demospongiae,Demospongiae,Haplosclerida,Haplosclerida,Haplosclerida
uniq16832,Mollusca,Gastropoda,Gastropoda,Gastropoda,Cerithium,Cerithium
uniq1685,Mollusca,Gastropoda,Gastropoda,Gastropoda,Ascobulla,Ascobulla
uniq16854,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq1688,Mollusca,Gastropoda,Gastropoda,Pteropoda,Pteropoda,Pteropoda
uniq1690,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16930,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1697,Arthropoda,Malacostraca,Malacostraca,Decapoda,Gelasimus,Gelasimus
uniq16979,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Pontellina,Pontellina
uniq170,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
